"","fly_id","genotype","caff_amount","time","event"
"1",106,"w1118",15,15.5,1
"2",107,"w1118",15,15.5,1
"3",108,"w1118",15,15.5,1
"4",109,"w1118",15,75.5,1
"5",110,"w1118",15,75.5,1
"6",111,"w1118",15,15.5,1
"7",112,"w1118",15,15.5,1
"8",113,"w1118",15,27.5,1
"9",114,"w1118",15,39.5,1
"10",115,"w1118",15,75.5,1
"11",116,"pdf01",15,39.5,1
"12",117,"pdf01",15,51.5,1
"13",118,"pdf01",15,75.5,1
"14",119,"pdf01",15,111.5,1
"15",120,"pdf01",15,123.5,1
"16",121,"pdf01",15,63.5,1
"17",122,"pdf01",15,99.5,1
"18",123,"pdf01",15,111.5,1
"19",124,"pdf01",15,123.5,1
"20",125,"pdf01",15,147.5,1
"21",126,"pdf01",15,51.5,1
"22",127,"pdf01",15,75.5,1
"23",128,"pdf01",15,99.5,1
"24",129,"pdf01",15,123.5,1
"25",130,"pdf01",15,123.5,1
"26",131,"pdf01",15,87.5,1
"27",132,"pdf01",15,99.5,1
"28",133,"pdf01",15,111.5,1
"29",134,"pdf01",15,123.5,1
"30",135,"pdf01",15,135.5,1
"31",136,"pdf/Df",15,63.5,1
"32",137,"pdf/Df",15,75.5,1
"33",138,"pdf/Df",15,87.5,1
"34",139,"pdf/Df",15,111.5,1
"35",140,"pdf/Df",15,123.5,1
"36",141,"pdf/Df",15,51.5,1
"37",142,"pdf/Df",15,87.5,1
"38",143,"pdf/Df",15,87.5,1
"39",144,"pdf/Df",15,111.5,1
"40",145,"pdf/Df",15,111.5,1
"41",146,"pdf/Df",15,75.5,1
"42",147,"pdf/Df",15,75.5,1
"43",148,"pdf/Df",15,87.5,1
"44",149,"pdf/Df",15,87.5,1
"45",150,"pdf/Df",15,111.5,1
"46",151,"pdf/Df",15,51.5,1
"47",152,"pdf/Df",15,63.5,1
"48",153,"pdf/Df",15,75.5,1
"49",154,"pdf/Df",15,99.5,1
"50",155,"pdf/Df",15,111.5,1
