"","fly_id","genotype","caff_amount","time","event"
"1",1,"w1118-1",0,195.5,0
"2",2,"w1118-1",0,195.5,0
"3",3,"w1118-1",0,195.5,0
"4",4,"w1118-1",0,195.5,0
"5",5,"w1118-1",0,195.5,0
"6",6,"w1118-2",0,195.5,0
"7",7,"w1118-2",0,195.5,0
"8",8,"w1118-2",0,195.5,0
"9",9,"w1118-2",0,195.5,0
"10",10,"w1118-2",0,195.5,0
"11",11,"pdf01-1",0,195.5,0
"12",12,"pdf01-1",0,195.5,0
"13",13,"pdf01-1",0,195.5,0
"14",14,"pdf01-1",0,195.5,0
"15",15,"pdf01-1",0,195.5,0
"16",16,"pdf01-2",0,195.5,0
"17",17,"pdf01-2",0,195.5,0
"18",18,"pdf01-2",0,195.5,0
"19",19,"pdf01-2",0,195.5,0
"20",20,"pdf01-2",0,195.5,0
"21",21,"pdf01-3",0,195.5,0
"22",22,"pdf01-3",0,195.5,0
"23",23,"pdf01-3",0,195.5,0
"24",24,"pdf01-3",0,195.5,0
"25",25,"pdf01-3",0,195.5,0
"26",26,"pdf01-4",0,195.5,0
"27",27,"pdf01-4",0,195.5,0
"28",28,"pdf01-4",0,195.5,0
"29",29,"pdf01-4",0,195.5,0
"30",30,"pdf01-4",0,195.5,0
"31",31,"pdf/Df-1",0,195.5,0
"32",32,"pdf/Df-1",0,195.5,0
"33",33,"pdf/Df-1",0,195.5,0
"34",34,"pdf/Df-1",0,195.5,0
"35",35,"pdf/Df-1",0,195.5,0
"36",36,"pdf/Df-2",0,195.5,0
"37",37,"pdf/Df-2",0,195.5,0
"38",38,"pdf/Df-2",0,195.5,0
"39",39,"pdf/Df-2",0,195.5,0
"40",40,"pdf/Df-2",0,195.5,0
"41",41,"pdf/Df-3",0,195.5,0
"42",42,"pdf/Df-3",0,195.5,0
"43",43,"pdf/Df-3",0,195.5,0
"44",44,"pdf/Df-3",0,195.5,0
"45",45,"pdf/Df-3",0,195.5,0
"46",46,"pdf/Df-4",0,195.5,0
"47",47,"pdf/Df-4",0,195.5,0
"48",48,"pdf/Df-4",0,195.5,0
"49",49,"pdf/Df-4",0,195.5,0
"50",50,"pdf/Df-4",0,195.5,0
"51",51,"w1118-1",7.5,63.5,1
"52",52,"w1118-1",7.5,87.5,1
"53",53,"w1118-1",7.5,135.5,1
"54",54,"w1118-1",7.5,135.5,1
"55",55,"w1118-1",7.5,147.5,1
"56",56,"w1118-2",7.5,75.5,1
"57",57,"w1118-2",7.5,75.5,1
"58",58,"w1118-2",7.5,75.5,1
"59",59,"w1118-2",7.5,99.5,1
"60",60,"w1118-2",7.5,123.5,1
"61",61,"w1118-3",7.5,39.5,1
"62",62,"w1118-3",7.5,75.5,1
"63",63,"w1118-3",7.5,87.5,1
"64",64,"w1118-3",7.5,99.5,1
"65",65,"w1118-3",7.5,123.5,1
"66",66,"pdf01-1",7.5,147.5,1
"67",67,"pdf01-1",7.5,147.5,1
"68",68,"pdf01-1",7.5,147.5,1
"69",69,"pdf01-1",7.5,159.5,1
"70",70,"pdf01-1",7.5,195.5,1
"71",71,"pdf01-2",7.5,159.5,1
"72",72,"pdf01-2",7.5,171.5,1
"73",73,"pdf01-2",7.5,171.5,1
"74",74,"pdf01-2",7.5,171.5,1
"75",75,"pdf01-2",7.5,171.5,1
"76",76,"pdf01-3",7.5,111.5,1
"77",77,"pdf01-3",7.5,147.5,1
"78",78,"pdf01-3",7.5,147.5,1
"79",79,"pdf01-3",7.5,171.5,1
"80",80,"pdf01-3",7.5,195.5,1
"81",81,"pdf01-4",7.5,123.5,1
"82",82,"pdf01-4",7.5,135.5,1
