fly_id,genotype,caff_amount,time,event
1,w1118-1,0,195.5,0
2,w1118-1,0,195.5,0
3,w1118-1,0,195.5,0
4,w1118-1,0,195.5,0
5,w1118-1,0,195.5,0
6,w1118-2,0,195.5,0
7,w1118-2,0,195.5,0
8,w1118-2,0,195.5,0
9,w1118-2,0,195.5,0
10,w1118-2,0,195.5,0
11,pdf01-1,0,195.5,0
12,pdf01-1,0,195.5,0
13,pdf01-1,0,195.5,0
14,pdf01-1,0,195.5,0
15,pdf01-1,0,195.5,0
16,pdf01-2,0,195.5,0
17,pdf01-2,0,195.5,0
18,pdf01-2,0,195.5,0
19,pdf01-2,0,195.5,0
20,pdf01-2,0,195.5,0
21,pdf01-3,0,195.5,0
22,pdf01-3,0,195.5,0
23,pdf01-3,0,195.5,0
24,pdf01-3,0,195.5,0
25,pdf01-3,0,195.5,0
26,pdf01-4,0,195.5,0
27,pdf01-4,0,195.5,0
28,pdf01-4,0,195.5,0
29,pdf01-4,0,195.5,0
30,pdf01-4,0,195.5,0
31,pdf/Df -1,0,195.5,0
32,pdf/Df -1,0,195.5,0
33,pdf/Df -1,0,195.5,0
34,pdf/Df -1,0,195.5,0
35,pdf/Df -1,0,195.5,0
36,pdf/Df -2,0,195.5,0
37,pdf/Df -2,0,195.5,0
38,pdf/Df -2,0,195.5,0
39,pdf/Df -2,0,195.5,0
40,pdf/Df -2,0,195.5,0
41,pdf/Df -3,0,195.5,0
42,pdf/Df -3,0,195.5,0
43,pdf/Df -3,0,195.5,0
44,pdf/Df -3,0,195.5,0
45,pdf/Df -3,0,195.5,0
46,pdf/Df -4,0,195.5,0
47,pdf/Df -4,0,195.5,0
48,pdf/Df -4,0,195.5,0
49,pdf/Df -4,0,195.5,0
50,pdf/Df -4,0,195.5,0
