fly_id,genotype,caff_amount,time,event
1,w1118-1,7.5,63.5,1
2,w1118-1,7.5,87.5,1
3,w1118-1,7.5,135.5,1
4,w1118-1,7.5,135.5,1
5,w1118-1,7.5,147.5,1
6,w1118-2,7.5,75.5,1
7,w1118-2,7.5,75.5,1
8,w1118-2,7.5,75.5,1
9,w1118-2,7.5,99.5,1
10,w1118-2,7.5,123.5,1
11,w1118-3,7.5,39.5,1
12,w1118-3,7.5,75.5,1
13,w1118-3,7.5,87.5,1
14,w1118-3,7.5,99.5,1
15,w1118-3,7.5,123.5,1
16,pdf01-1,7.5,147.5,1
17,pdf01-1,7.5,147.5,1
18,pdf01-1,7.5,147.5,1
19,pdf01-1,7.5,159.5,1
20,pdf01-1,7.5,195.5,1
21,pdf01-2,7.5,159.5,1
22,pdf01-2,7.5,171.5,1
23,pdf01-2,7.5,171.5,1
24,pdf01-2,7.5,171.5,1
25,pdf01-2,7.5,171.5,1
26,pdf01-3,7.5,111.5,1
27,pdf01-3,7.5,147.5,1
28,pdf01-3,7.5,147.5,1
29,pdf01-3,7.5,171.5,1
30,pdf01-3,7.5,195.5,1
31,pdf01-4,7.5,123.5,1
32,pdf01-4,7.5,135.5,1
33,pdf01-4,7.5,147.5,1
34,pdf01-4,7.5,147.5,1
35,pdf01-4,7.5,171.5,1
36,pdf/Df -1,7.5,123.5,1
37,pdf/Df -1,7.5,123.5,1
38,pdf/Df -1,7.5,123.5,1
39,pdf/Df -1,7.5,159.5,1
40,pdf/Df -1,7.5,183.5,1
41,pdf/Df -2,7.5,99.5,1
42,pdf/Df -2,7.5,147.5,1
43,pdf/Df -2,7.5,147.5,1
44,pdf/Df -2,7.5,159.5,1
45,pdf/Df -2,7.5,171.5,1
46,pdf/Df -3,7.5,111.5,1
47,pdf/Df -3,7.5,111.5,1
48,pdf/Df -3,7.5,147.5,1
49,pdf/Df -3,7.5,171.5,1
50,pdf/Df -3,7.5,183.5,1
51,pdf/Df -4,7.5,111.5,1
52,pdf/Df -4,7.5,111.5,1
53,pdf/Df -4,7.5,147.5,1
54,pdf/Df -4,7.5,147.5,1
55,pdf/Df -4,7.5,159.5,1
